id;name;code;value;status
1;Synchronised;Louisiana invoice;Ferry;INACTIVE
2;magnetic Baby;Engineer Baby;1080p applications;ENABLED
3;Response Garden Agent;Lead;JBOD context-sensitive PCI;DISABLED
4;Frozen reinvent;British Indian Ocean;user-facing;INACTIVE
5;Movies Garden;turn-key deposit;Computers;ENABLED
6;indigo;engineer SCSI;azure backing up;INACTIVE
7;Savings Account;matrix silver compre;6th generation programming Ergonomic Granite Cheese;INACTIVE
8;front-end;Kenyan Shilling;Coordinator;ENABLED
9;neural;Web Human Savings Ac;paradigms;DISABLED
10;Well;interface transmitti;Team-oriented haptic engage;INACTIVE
