id;app_id;group_name;user_field_code;user_field_name;is_mandatory;profile_score;validation_regex;registration_field
1;24236;Belize Dollar Kyrgyz Republic;web-readiness Senior;Group;NO;46513;optimal;NO
2;52235;Markets;Lakes Baht Forges;explicit Rubber;YES;73905;District local olive;NO
3;7200;Chief Research payment;programming;Developer Uzbekistan Sum;YES;18467;Directives Expanded;NO
4;36895;rich Sausages Bahrain;Valley mesh Gorgeous;Montana Team-oriented;YES;12535;Legacy Utah;YES
5;59193;Seamless bluetooth;needs-based;Palestinian Territory;NO;10365;Chad Supervisor silver;YES
6;82389;invoice Diverse;fuchsia Chad;Skyway;YES;45443;Utah Tasty invoice;YES
7;65811;Designer;schemas deposit;Chief;NO;11107;neutral Avon;YES
8;17095;Avon hard drive;solid state withdraw;Maine;YES;96367;Branding;YES
9;13006;Total;Way;Borders Personal Loan Account Legacy;YES;25843;synergy;YES
10;89909;Interactions Borders;Garden Tuna;website Lithuania Dynamic;YES;65184;azure synergy Avon;NO
