id;name;code;description;partner_id;status
1;Car payment;protocol Tools;one-to-one Directives;16522;INACTIVE
2;Bedfordshire;sky blue PCI;Clothing;55996;INACTIVE
3;Garden 3rd generation;Grocery even-keeled ;ADP;97970;ENABLED
4;compress auxiliary Vermont;French Southern Terr;Steel foreground Assurance;97607;ENABLED
5;Checking Account;Program drive Jewele;Guinea Franc dot-com;92022;DISABLED
6;lavender Rubber leverage;Quality-focused Buck;card;16986;ENABLED
7;Customer Personal Loan Account Table;Estate compress Cred;Investment Account;41028;ENABLED
8;encompassing Avon;Loop deposit Fiji Do;integrate;35213;INACTIVE
9;Auto Loan Account system engine;Berkshire ivory Meta;compress Brand calculate;11793;INACTIVE
10;paradigms Saint Pierre and Miquelon;Cayman Islands Dolla;Practical Rubber Fish;54704;INACTIVE
