id;name;code;description;status
1;stable New Jersey strategize;Borders Plastic depo;payment;INACTIVE
2;full-range Soft redefine;Front-line Louisiana;Chair Generic input;INACTIVE
3;Neck;Bacon concept Tunisi;input Delaware;DISABLED
4;Borders;Gorgeous matrix;Sierra Leone;ENABLED
5;grid-enabled Solomon Islands Cambridgeshire;Granite Car wireless;Developer client-driven;DISABLED
6;Group yellow;Books Sudanese Pound;feed Port Chicken;INACTIVE
7;leading-edge;Grocery XML Computer;Unbranded Soft Tunnel;ENABLED
8;Home robust;Philippines Identity;Representative vertical matrix;DISABLED
9;Architect calculate;withdrawal white;Garden Pizza;ENABLED
10;Cambridgeshire;withdrawal salmon Be;XML Developer compress;ENABLED
