id;name;description;owner_type;sort_order;status
1;Borders;monitor;3307;36029;INACTIVE
2;Luxembourg deliverables;grey;42164;7500;INACTIVE
3;redundant matrix Investment Account;Mountains channels;8259;38992;DISABLED
4;Automated;Turkish Lira Investment Account;35209;1620;DISABLED
5;Home Loan Account North Dakota Fully-configurable;Cambridgeshire;71946;69939;DISABLED
6;Officer Rial Omani;Designer;82900;91806;DISABLED
7;Streamlined Berkshire;Corporate;2442;49330;DISABLED
8;Shoes Bedfordshire quantify;Industrial Granite value-added;8406;83559;ENABLED
9;Corporate;SCSI Keyboard programming;71927;66125;ENABLED
10;Camp Borders;sexy;3260;36517;INACTIVE
