id;name;code;description;sort_order;status
1;Chair scale;Canadian Dollar Awes;grey maroon;87068;DISABLED
2;Missouri;primary Markets;Borders Internal program;73074;ENABLED
3;Czech Republic Fantastic Wooden Chicken Camp;encompassing Berkshi;real-time copying Investment Account;85524;ENABLED
4;Networked Robust Practical Rubber Table;Engineer;multi-byte;40845;ENABLED
5;International Buckinghamshire matrix;turquoise;EXE Synergistic Bedfordshire;93537;DISABLED
6;bandwidth Multi-layered;Auto Loan Account ge;Alabama generate;16538;DISABLED
7;solution interface;Grocery Intelligent ;Soft systems District;40931;DISABLED
8;International;portals;Rustic Trinidad and Tobago Dollar sky blue;67914;ENABLED
9;Applications;Qatari Rial Ball;Green;40614;INACTIVE
10;Finland Wyoming;Libyan Arab Jamahiri;Handmade Granite Towels bandwidth;40650;ENABLED
