id;name;code;description;status
1;iterate Handmade Plastic Shoes Strategist;Home EXE e-services;Chicken Nebraska Intelligent Cotton Fish;ENABLED
2;Supervisor;programming Handcraf;West Virginia Hat Organized;ENABLED
3;invoice EXE transform;Bacon;attitude-oriented Pa'anga;ENABLED
4;Computer Florida;mobile 1080p neural;Representative;ENABLED
5;transmitting Borders;invoice platforms;Unbranded;DISABLED
6;withdrawal Auto Loan Account Road;interface Implementa;Dale Saint Martin;DISABLED
7;Tasty Intelligent Fresh Table;content Berkshire;North Dakota Auto Loan Account panel;INACTIVE
8;Checking Account Bedfordshire synthesizing;Baby Incredible Fres;Investor;ENABLED
9;Rustic Steel Mouse tertiary Kansas;program;Plastic distributed;DISABLED
10;Incredible generating;User-centric bandwid;payment knowledge user;ENABLED
